歯牙障害特徴順位,品詞,基本形,All出現回数,All出現事例数,All事例出現率(%),歯牙障害出現回数,歯牙障害出現事例数,歯牙障害事例出現率(%),出現率差_歯牙障害-All,出現率倍率_歯牙障害_All
1328,名詞,翌月,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1329,名詞,背中合わせ,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1330,名詞,胴上げ,4,3,0.0391,2.0,1.0,0.0632,0.0241,1.6164
1331,名詞,脇道,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1332,名詞,落馬,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1333,名詞,被災,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1334,名詞,見通し,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1335,名詞,覗き,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1336,名詞,計,5,3,0.0391,2.0,1.0,0.0632,0.0241,1.6164
1337,名詞,記入,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1338,名詞,許可,4,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1339,名詞,試し,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1340,名詞,講師,4,3,0.0391,2.0,1.0,0.0632,0.0241,1.6164
1341,名詞,販売,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1342,名詞,起立,4,3,0.0391,2.0,1.0,0.0632,0.0241,1.6164
1343,名詞,足技,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1344,名詞,身長,5,3,0.0391,2.0,1.0,0.0632,0.0241,1.6164
1345,名詞,転送,5,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1346,名詞,近所,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1347,名詞,過ぎ,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1348,名詞,量,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1349,名詞,間近,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1350,名詞,隊員,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1351,名詞,随意,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1352,名詞,鞄,4,3,0.0391,2.0,1.0,0.0632,0.0241,1.6164
1353,名詞,髪,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1354,形容詞,ぽい,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1355,形容詞,短い,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1356,形容詞,緩い,3,3,0.0391,1.0,1.0,0.0632,0.0241,1.6164
1357,動詞,すくう,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1358,動詞,のける,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1359,動詞,合わせる,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1360,動詞,引っぱる,9,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1361,動詞,着替える,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1362,動詞,貼る,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1363,動詞,起こる,9,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1364,名詞,しっぽ,10,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1365,名詞,つもり,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1366,名詞,とり,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1367,名詞,まね,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1368,名詞,コントロール,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1369,名詞,ムカデ,10,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1370,名詞,ルーム,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1371,名詞,三塁手,9,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1372,名詞,上前,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1373,名詞,不意,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1374,名詞,前衛,9,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1375,名詞,土手,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1376,名詞,手の甲,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1377,名詞,腹筋,9,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1378,形容詞,やすい,8,8,0.1041,2.0,2.0,0.1263,0.0222,1.2133
1379,名詞,斜め,42,42,0.5467,9.0,9.0,0.5685,0.0218,1.0399
1380,動詞,やめる,15,13,0.1692,3.0,3.0,0.1895,0.0203,1.12
1381,動詞,掴む,13,13,0.1692,3.0,3.0,0.1895,0.0203,1.12
1382,名詞,スロープ,19,13,0.1692,3.0,3.0,0.1895,0.0203,1.12
1383,名詞,フレーム,14,13,0.1692,3.0,3.0,0.1895,0.0203,1.12
1384,名詞,平行棒,15,13,0.1692,4.0,3.0,0.1895,0.0203,1.12
1385,名詞,拳,13,13,0.1692,3.0,3.0,0.1895,0.0203,1.12
1386,名詞,昼,13,13,0.1692,3.0,3.0,0.1895,0.0203,1.12
1387,名詞,現場,13,13,0.1692,3.0,3.0,0.1895,0.0203,1.12
1388,動詞,振り払う,18,18,0.2343,4.0,4.0,0.2527,0.0184,1.0785
1389,動詞,驚く,19,18,0.2343,4.0,4.0,0.2527,0.0184,1.0785
1390,名詞,トランポリン,28,18,0.2343,5.0,4.0,0.2527,0.0184,1.0785
1391,名詞,前日,18,18,0.2343,4.0,4.0,0.2527,0.0184,1.0785
1392,名詞,攻撃,19,18,0.2343,4.0,4.0,0.2527,0.0184,1.0785
1393,動詞,越える,24,23,0.2994,5.0,5.0,0.3159,0.0165,1.0551
1394,名詞,バスケット,28,23,0.2994,5.0,5.0,0.3159,0.0165,1.0551
1395,名詞,出し,23,23,0.2994,5.0,5.0,0.3159,0.0165,1.0551
1396,動詞,遅れる,28,28,0.3645,6.0,6.0,0.379,0.0145,1.0398
1397,名詞,校門,29,28,0.3645,6.0,6.0,0.379,0.0145,1.0398
1398,名詞,足元,29,28,0.3645,6.0,6.0,0.379,0.0145,1.0398
1399,名詞,返球,31,28,0.3645,8.0,6.0,0.379,0.0145,1.0398
1400,名詞,場所,69,67,0.8722,14.0,14.0,0.8844,0.0122,1.014
1401,動詞,おこす,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1402,動詞,おさまる,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1403,動詞,くぼむ,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1404,動詞,くらむ,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1405,動詞,けがす,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1406,動詞,こおる,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1407,動詞,しゃがみこむ,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1408,動詞,ずらす,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1409,動詞,どく,5,4,0.0521,2.0,1.0,0.0632,0.0111,1.2131
1410,動詞,会う,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1411,動詞,寄せる,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1412,動詞,応じる,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1413,動詞,押し出す,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1414,動詞,放つ,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1415,動詞,汲む,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1416,動詞,潜る,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1417,動詞,無くなる,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1418,動詞,示す,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1419,動詞,締める,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1420,動詞,試す,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1421,動詞,転げ落ちる,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1422,動詞,飛び出る,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1423,名詞,おもり,5,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1424,名詞,かなり,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1425,名詞,ろう,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1426,名詞,ウェイトトレーニング,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1427,名詞,ギア,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1428,名詞,クールダウン,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1429,名詞,バチ,6,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1430,名詞,ヒット,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1431,名詞,ピンポン,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1432,名詞,プロレス,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1433,名詞,ロード,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1434,名詞,不自由,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1435,名詞,主,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1436,名詞,乗車,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1437,名詞,乱打,5,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1438,名詞,仕事,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1439,名詞,傍,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1440,名詞,出会い頭,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1441,名詞,制止,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1442,名詞,劇,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1443,名詞,医,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1444,名詞,単元,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1445,名詞,喪失,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1446,名詞,夢中,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1447,名詞,太陽,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1448,名詞,奪い合い,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1449,名詞,子ども,5,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1450,名詞,対面,5,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1451,名詞,屋外,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1452,名詞,工場,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1453,名詞,帰,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1454,名詞,底面,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1455,名詞,座席,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1456,名詞,引き戸,5,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1457,名詞,怒り,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1458,名詞,成功,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1459,名詞,所属,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1460,名詞,撮影,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1461,名詞,早退,5,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1462,名詞,暴力,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1463,名詞,最初,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1464,名詞,材,6,4,0.0521,2.0,1.0,0.0632,0.0111,1.2131
1465,名詞,根,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1466,名詞,構え,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1467,名詞,死球,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1468,名詞,決勝,5,4,0.0521,2.0,1.0,0.0632,0.0111,1.2131
1469,名詞,灯,5,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1470,名詞,片側,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1471,名詞,現地,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1472,名詞,番目,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1473,名詞,発展,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1474,名詞,登山,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1475,名詞,盗塁,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1476,名詞,絵,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1477,名詞,緩やか,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1478,名詞,腕立て伏せ,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1479,名詞,視線,5,4,0.0521,2.0,1.0,0.0632,0.0111,1.2131
1480,名詞,観戦,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1481,名詞,記念,5,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1482,名詞,設定,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1483,名詞,跳ね,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1484,名詞,運動公園,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1485,名詞,野手,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1486,名詞,鉄柵,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1487,名詞,開催,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1488,名詞,隙,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1489,名詞,離,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1490,名詞,，,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1491,形容詞,しろい,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1492,形容詞,弱い,4,4,0.0521,1.0,1.0,0.0632,0.0111,1.2131
1493,動詞,支える,81,72,0.9373,16.0,15.0,0.9476,0.0103,1.011
1494,動詞,あがる,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1495,動詞,促す,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1496,動詞,取り付ける,10,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1497,動詞,気がつく,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1498,名詞,テーブル,12,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1499,名詞,同様,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1500,名詞,対抗,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1501,名詞,差,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1502,名詞,懸垂,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1503,名詞,本棚,11,9,0.1172,4.0,2.0,0.1263,0.0091,1.0776
1504,名詞,社会,10,9,0.1172,3.0,2.0,0.1263,0.0091,1.0776
1505,名詞,落ち葉,10,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1506,名詞,阻止,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1507,名詞,頭上,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1508,形容詞,よい,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1509,形容詞,狭い,9,9,0.1172,2.0,2.0,0.1263,0.0091,1.0776
1510,動詞,取れる,14,14,0.1822,3.0,3.0,0.1895,0.0073,1.0401
1511,動詞,競り合う,14,14,0.1822,3.0,3.0,0.1895,0.0073,1.0401
1512,名詞,チアリーディング,14,14,0.1822,3.0,3.0,0.1895,0.0073,1.0401
1513,名詞,一瞬,14,14,0.1822,3.0,3.0,0.1895,0.0073,1.0401
1514,名詞,回し,15,14,0.1822,3.0,3.0,0.1895,0.0073,1.0401
1515,名詞,幅,15,14,0.1822,3.0,3.0,0.1895,0.0073,1.0401
1516,名詞,相撲,16,14,0.1822,3.0,3.0,0.1895,0.0073,1.0401
1517,名詞,研究,14,14,0.1822,3.0,3.0,0.1895,0.0073,1.0401
1518,名詞,競争,14,14,0.1822,3.0,3.0,0.1895,0.0073,1.0401
1519,名詞,両手,126,116,1.51,24.0,24.0,1.5161,0.0061,1.004
1520,動詞,傾く,20,19,0.2473,4.0,4.0,0.2527,0.0054,1.0218
1521,名詞,ロープ,32,19,0.2473,5.0,4.0,0.2527,0.0054,1.0218
1522,名詞,三,20,19,0.2473,5.0,4.0,0.2527,0.0054,1.0218
1523,名詞,上級生,23,19,0.2473,4.0,4.0,0.2527,0.0054,1.0218
1524,名詞,黒板,26,19,0.2473,6.0,4.0,0.2527,0.0054,1.0218
1525,動詞,すぎる,24,24,0.3124,5.0,5.0,0.3159,0.0035,1.0112
1526,動詞,奪う,25,24,0.3124,5.0,5.0,0.3159,0.0035,1.0112
1527,名詞,ティー,60,58,0.755,12.0,12.0,0.7581,0.0031,1.0041
1528,名詞,斜面,33,29,0.3775,7.0,6.0,0.379,0.0015,1.004
1529,動詞,きく,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1530,動詞,くすぐる,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1531,動詞,たつ,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1532,動詞,はじめる,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1533,動詞,またぐ,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1534,動詞,むける,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1535,動詞,乱れる,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1536,動詞,伝える,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1537,動詞,保つ,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1538,動詞,出かける,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1539,動詞,弾く,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1540,動詞,教える,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1541,動詞,申し出る,6,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1542,動詞,着る,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1543,動詞,突き飛ばす,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1544,動詞,踏みはずす,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1545,動詞,踏み込む,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1546,動詞,迎える,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1547,名詞,000,6,5,0.0651,2.0,1.0,0.0632,-0.0019,0.9708
1548,名詞,B,8,5,0.0651,2.0,1.0,0.0632,-0.0019,0.9708
1549,名詞,こ,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1550,名詞,これ,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1551,名詞,そしゃく,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1552,名詞,ひな壇,9,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1553,名詞,め,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1554,名詞,エバーマット,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1555,名詞,クロス,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1556,名詞,ケガ,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1557,名詞,ゲレンデ,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1558,名詞,スパーリング,6,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1559,名詞,タイル,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1560,名詞,ダンベル,9,5,0.0651,3.0,1.0,0.0632,-0.0019,0.9708
1561,名詞,トップ,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1562,名詞,ドリル,7,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1563,名詞,ノー,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1564,名詞,パネル,8,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1565,名詞,ブリッジ,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1566,名詞,ブルペン,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1567,名詞,ベルト,9,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1568,名詞,ミス,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1569,名詞,中学生,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1570,名詞,中身,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1571,名詞,予定,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1572,名詞,些細,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1573,名詞,以外,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1574,名詞,体制,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1575,名詞,個室,7,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1576,名詞,出入り,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1577,名詞,初日,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1578,名詞,勝手,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1579,名詞,四,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1580,名詞,土,6,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1581,名詞,地,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1582,名詞,変化,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1583,名詞,外科,6,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1584,名詞,就寝,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1585,名詞,尻餅,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1586,名詞,工事,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1587,名詞,帽子,8,5,0.0651,3.0,1.0,0.0632,-0.0019,0.9708
1588,名詞,幹,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1589,名詞,引率,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1590,名詞,払い,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1591,名詞,持病,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1592,名詞,排泄,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1593,名詞,教壇,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1594,名詞,新聞紙,6,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1595,名詞,洗面,9,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1596,名詞,消し,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1597,名詞,溶接,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1598,名詞,田んぼ,6,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1599,名詞,甲骨,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1600,名詞,発熱,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1601,名詞,相談,7,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1602,名詞,科学,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1603,名詞,築山,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1604,名詞,綱,14,5,0.0651,4.0,1.0,0.0632,-0.0019,0.9708
1605,名詞,考査,6,5,0.0651,2.0,1.0,0.0632,-0.0019,0.9708
1606,名詞,肢体,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1607,名詞,英語,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1608,名詞,足下,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1609,名詞,踵,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1610,名詞,逆,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1611,名詞,通り,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1612,名詞,進路,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1613,名詞,遊撃手,7,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1614,名詞,重,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1615,名詞,髪の毛,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1616,形容詞,寒い,5,5,0.0651,1.0,1.0,0.0632,-0.0019,0.9708
1617,動詞,くぐる,11,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1618,動詞,つかまえる,10,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1619,名詞,上り,10,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1620,名詞,介助,12,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1621,名詞,判断,10,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1622,名詞,動作,11,10,0.1302,3.0,2.0,0.1263,-0.0039,0.97
1623,名詞,対戦,10,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1624,名詞,帯,10,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1625,名詞,朝礼,14,10,0.1302,3.0,2.0,0.1263,-0.0039,0.97
1626,名詞,沿い,11,10,0.1302,3.0,2.0,0.1263,-0.0039,0.97
1627,名詞,選択,10,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1628,名詞,針金,17,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1629,名詞,陰,10,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1630,名詞,鼻血,11,10,0.1302,2.0,2.0,0.1263,-0.0039,0.97
1631,名詞,クラブ,50,44,0.5728,10.0,9.0,0.5685,-0.0043,0.9925
1632,名詞,ピッチングマシーン,17,15,0.1953,3.0,3.0,0.1895,-0.0058,0.9703
1633,名詞,役,19,15,0.1953,5.0,3.0,0.1895,-0.0058,0.9703
1634,名詞,怪我,15,15,0.1953,3.0,3.0,0.1895,-0.0058,0.9703
1635,名詞,身,15,15,0.1953,3.0,3.0,0.1895,-0.0058,0.9703
1636,動詞,飛び出す,49,49,0.6379,10.0,10.0,0.6317,-0.0062,0.9903
1637,名詞,立ち,22,20,0.2603,4.0,4.0,0.2527,-0.0076,0.9708
1638,動詞,ける,25,25,0.3254,5.0,5.0,0.3159,-0.0095,0.9708
1639,名詞,グランド,25,25,0.3254,5.0,5.0,0.3159,-0.0095,0.9708
1640,動詞,引っ張る,64,59,0.768,13.0,12.0,0.7581,-0.0099,0.9871
1641,名詞,全員,30,30,0.3905,6.0,6.0,0.379,-0.0115,0.9706
1642,名詞,別,99,98,1.2757,21.0,20.0,1.2634,-0.0123,0.9904
1643,動詞,あおぐ,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
1644,動詞,あがれる,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
1645,動詞,あたためる,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
1646,動詞,あつめる,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
1647,動詞,あらそう,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
1648,動詞,いたす,1,1,0.013,0.0,0.0,0.0,-0.013,0.0
