rule_id,項目,原文表現,DB候補値,必要条件,主な除外条件,候補生成区分
SYN_COMMUTE_001,通学方法,自転車通学,自転車,場合別1が通学中で本人の事故時の手段,競技・衝突対象・他者の手段,候補のみ
SYN_COMMUTE_002,通学方法,自転車,自転車,場合別1が通学中で本人の事故時の手段,競技・衝突対象・他者の手段,条件付き候補
SYN_COMMUTE_003,通学方法,徒歩,徒歩,場合別1が通学中で本人の事故時の手段,歩行活動・他者の手段・別場面,条件付き候補
SYN_COMMUTE_004,通学方法,歩いて,徒歩,場合別1が通学中で本人の事故時の手段,競技・散歩・別場面・他者,条件付き候補
SYN_COMMUTE_005,通学方法,原付,原動機付自転車,場合別1が通学中で本人の事故時の手段,衝突対象・他者の手段,条件付き候補
SYN_COMMUTE_006,通学方法,電車,鉄道,場合別1が通学中で本人の事故時の手段,駅・待機・衝突対象・他者の手段,条件付き候補
SYN_COMMUTE_007,通学方法,列車,鉄道,場合別1が通学中で本人の事故時の手段,駅・待機・衝突対象・他者の手段,条件付き候補
SYN_PLAY_001,遊具等,ブランコ,ぶらんこ,対象者が事故時に使用,近接・衝突対象・他者が使用,条件付き候補
SYN_PLAY_002,遊具等,滑り台,すべり台,対象者が事故時に使用,近接・衝突対象・他者が使用,条件付き候補
SYN_PLAY_003,遊具等,うんてい,雲てい,対象者が事故時に使用,近接・衝突対象・他者が使用,条件付き候補
SYN_PLAY_004,遊具等,雲梯,雲てい,対象者が事故時に使用,近接・衝突対象・他者が使用,条件付き候補
SYN_PLAY_005,遊具等,アスレチック,総合遊具・アスレティック,対象者が事故時に使用,近接・衝突対象・他者が使用,条件付き候補
SYN_PLAY_006,遊具等,ジャングルジム,ジャングルジム,対象者が事故時に使用,近接・衝突対象・他者が使用,条件付き候補
SYN_PLAY_007,遊具等,シーソー,シーソー,対象者が事故時に使用,近接・衝突対象・他者が使用,条件付き候補
SYN_PLAY_008,遊具等,のぼり棒,登り棒,対象者が事故時に使用,近接・衝突対象・他者が使用,条件付き候補
